<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>
BBC,20090320,20-03-09,9.9285,10.3764,9.9285,10.1531,101050
BBC,20090319,19-03-09,9.5552,10.0031,9.8538,9.9292,452570
BBC,20090318,18-03-09,9.1073,9.5552,9.5552,9.5559,42220
BBC,20090317,17-03-09,8.7341,9.1073,9.0327,9.1079,98080
BBC,20090316,16-03-09,8.5848,8.8087,8.5848,8.7347,64430
BBC,20090313,13-03-09,8.5101,8.8087,8.5101,8.5854,103360
BBC,20090312,12-03-09,8.7341,8.7341,8.4355,8.5107,41660
BBC,20090311,11-03-09,8.3608,8.7341,8.3608,8.7347,112880
BBC,20090310,10-03-09,7.9876,8.3608,7.9129,8.3614,55150
BBC,20090309,09-03-09,7.9876,8.1369,7.9876,7.9881,17700
BBC,20090306,06-03-09,7.9876,8.0622,7.9129,7.9881,28870
BBC,20090305,05-03-09,7.8383,8.0622,7.9129,7.9881,10480
BBC,20090304,04-03-09,7.7636,7.8383,7.689,7.8388,10020
BBC,20090303,03-03-09,7.7636,7.7636,7.6143,7.7642,43340
BBC,20090302,02-03-09,7.8383,7.8383,7.6143,7.7642,21280
BBC,20090227,27-02-09,7.689,7.8383,7.689,7.8388,35440
BBC,20090226,26-02-09,8.3608,7.8383,7.465,7.6895,38850
BBC,20090225,25-02-09,7.2739,7.6138,7.4778,7.6147,42750
BBC,20090224,24-02-09,7.6138,7.3418,7.2739,7.2748,81040
BBC,20090223,23-02-09,7.6138,7.7497,7.6138,7.6147,50880
BBC,20090220,20-02-09,7.9537,7.9537,7.7497,7.9547,57040
BBC,20090219,19-02-09,7.6138,7.7497,7.6138,7.7507,30940
BBC,20090218,18-02-09,7.2059,7.4098,7.2059,7.4108,38310
BBC,20090217,17-02-09,7.2739,7.4098,7.1379,7.2068,110680
